epoch,loss,iou,dice,val_loss,val_iou,val_dice
0,1.242432454,0.000166822,0.004556888,1.215737358,5.74E-11,0.00364033
1,1.171431571,3.58E-10,0.004731817,1.163125752,5.60E-10,0.004054625
2,1.149291681,5.34E-10,0.004831989,1.145566052,8.17E-10,0.004087651
3,1.136658814,5.98E-10,0.004878068,1.134859681,5.96E-10,0.004037763
4,1.125086692,6.53E-10,0.004911958,1.2134485,9.70E-11,0.003606344
5,1.117502532,6.52E-10,0.004917475,1.115938228,8.56E-10,0.004112674
6,1.107506851,6.78E-10,0.00498339,1.107235855,8.56E-10,0.004167842
7,1.100162626,6.88E-10,0.00507402,1.104481833,8.28E-10,0.004317
8,1.093279906,6.83E-10,0.005129388,1.092228312,6.81E-10,0.004225216
9,1.086515897,6.91E-10,0.00521379,1.086055736,8.56E-10,0.004457105
10,1.080561635,6.95E-10,0.00532187,1.077341227,8.56E-10,0.004342284
11,1.075127404,6.99E-10,0.005443017,1.07287527,8.55E-10,0.004472313
11,1.070161815,7.01E-10,0.005515517,1.067963771,8.55E-10,0.004450659
12,1.06557964,7.02E-10,0.005601677,1.065473061,8.56E-10,0.004586559
13,1.061258021,7.01E-10,0.005813119,1.060124305,8.55E-10,0.004576191
14,1.057378456,7.01E-10,0.005900322,1.055149896,8.56E-10,0.00452977
14,1.053686847,0.001005972,0.006023326,1.050001028,8.56E-10,0.004233622
15,1.050025058,0.014488307,0.006521999,1.053330366,7.12E-10,0.005014346
16,1.046571256,0.025732463,0.006901276,1.049474823,5.56E-05,0.004936812
17,1.044508897,0.017194592,0.006530982,1.050448745,8.56E-10,0.005031623
18,1.042176078,0.000344198,0.005784519,1.046200448,8.56E-10,0.004990723
19,1.038948873,7.04E-10,0.006410552,1.042014773,8.56E-10,0.005089614
20,1.036362357,0.006398282,0.006666028,1.03488742,8.49E-10,0.004340128
21,1.034683391,7.05E-10,0.005922794,1.0323235,8.56E-10,0.00430046
22,1.031865717,0.005596057,0.006983485,1.029786532,7.86E-10,0.004528301
23,1.029325046,0.02390621,0.008054834,1.031138071,0.000633069,0.004954621
24,1.02724171,0.025129271,0.008328147,1.029652667,5.89E-10,0.005009804
25,1.025444705,0.02556573,0.008793484,1.02499596,4.77E-05,0.00467215
26,1.02312679,0.032102057,0.00954856,1.024096751,0.00111332,0.005213511
27,1.021200812,0.033471145,0.010308865,1.024013343,0.000668836,0.004918243
27,1.019443012,0.035951025,0.011012012,1.022118065,0.004763478,0.005125459
28,1.017377096,0.039544049,0.012020133,1.022308143,4.51E-10,0.004604927
29,1.01559655,0.039501718,0.012582998,1.017701188,7.78E-10,0.005044755
30,1.013872838,0.04295477,0.013250071,1.018030391,7.93E-10,0.004750765
